asOfDate,symbol,WorkingCapital,OperatingIncome,AccumulatedDepreciation,EBITDA,GrossProfit,DilutedEPS,InterestExpense
2020-09-30,AAPL,38321000000.0,66288000000.0,-66760000000.0,81020000000.0,104956000000.0,3.28,2873000000.0
2021-09-30,AAPL,9355000000.0,108949000000.0,-70283000000.0,123136000000.0,152836000000.0,5.61,2645000000.0
2022-09-30,AAPL,-18577000000.0,119437000000.0,-72340000000.0,133138000000.0,170782000000.0,6.11,2931000000.0
2023-09-30,AAPL,-1742000000.0,114301000000.0,-70884000000.0,129188000000.0,169148000000.0,6.13,3933000000.0
