asOfDate,symbol,WorkingCapital,OperatingIncome,AccumulatedDepreciation,EBITDA,GrossProfit,DilutedEPS,InterestExpense
2021-01-31,NVDA,12130000000.0,4532000000.0,-1408000000.0,5691000000.0,10396000000.0,0.1725,184000000.0
2022-01-31,NVDA,24494000000.0,10041000000.0,-1903000000.0,11351000000.0,17475000000.0,0.385,236000000.0
2023-01-31,NVDA,16510000000.0,5577000000.0,-2694000000.0,5987000000.0,15356000000.0,0.174,262000000.0
2024-01-31,NVDA,33714000000.0,32972000000.0,-3509000000.0,35583000000.0,44301000000.0,1.193,257000000.0
